,bought_price,high,low,percent_high,percent_low
BABA220617P00108000 (07-06-2022),4.05,3.7,3.4,-0.08641975308641969,0.16049382716049376
KO220617P00061000 (07-06-2022),0.805,1.28,0.6,0.5900621118012421,0.25465838509316774
PEP220617P00160000 (07-06-2022),1.61,1.38,1.16,-0.14285714285714302,0.2795031055900622
PG220617P00140000 (07-06-2022),1.33,2.75,2.1,1.0676691729323307,-0.5789473684210527
